panel    , method , k, walk_std, lambda_1              , lambda_2            , lambda_2_row_ref      , block_size, d, lam                , s , max_iter, train_ari         , test_ari           , n_test_matrices, source_file                                                            , notes
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,          2,  ,                    ,   ,      100,                   , 0.9463677025633654 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,          3,  ,                    ,   ,      100,                   , 0.9665200996701744 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,          4,  ,                    ,   ,      100,                   , 0.9556425905778768 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,          5,  ,                    ,   ,      100,                   , 0.9430831242028465 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,          6,  ,                    ,   ,      100,                   , 0.8928372498163311 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,          7,  ,                    ,   ,      100,                   , 0.8502603173566422 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,          8,  ,                    ,   ,      100,                   , 0.7836385204769554 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,         10,  ,                    ,   ,      100,                   , 0.7041978898592033 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,         12,  ,                    ,   ,      100,                   , 0.5959276976221588 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.2 , 0.1                   ,                     , 1                     ,         15,  ,                    ,   ,      100,                   , 0.4862164938524337 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,          2,  ,                    ,   ,      100,                   , 0.8204519576229649 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,          3,  ,                    ,   ,      100,                   , 0.844456851124237  ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,          4,  ,                    ,   ,      100,                   , 0.8569403118442468 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,          5,  ,                    ,   ,      100,                   , 0.8366706109346829 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,          6,  ,                    ,   ,      100,                   , 0.7628376280694402 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,          7,  ,                    ,   ,      100,                   , 0.6814722103728995 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,          8,  ,                    ,   ,      100,                   , 0.643114678204747  ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,         10,  ,                    ,   ,      100,                   , 0.5337064298668063 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,         12,  ,                    ,   ,      100,                   , 0.4761540141048065 ,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
blocksize, WTV-SSC, 5,     0.3 , 0.1                   ,                     , 1                     ,         15,  ,                    ,   ,      100,                   , 0.43190289353932104,              20, blocksize_sweep_shared_lambda_rowscaled_no_outlier.csv (icassp_ssc_tv2), "fixed lambda_1/lambda_2_row_ref, block_size swept (not tuned)"
